;Actual Value;Prediction;countryName;regionName;year
2458;1.0;1;Argentina;Americas;2019
2518;1.0;1;Bolivia (Plurinational State of);Americas;2019
2538;1.0;1;Brazil;Americas;2019
2558;1.0;1;Chile;Americas;2019
2578;1.0;1;Colombia;Americas;2019
2598;1.0;1;Costa Rica;Americas;2019
2618;1.0;1;Cuba;Americas;2019
2658;1.0;1;Dominican Republic;Americas;2019
2678;1.0;1;Ecuador;Americas;2019
2698;1.0;1;El Salvador;Americas;2019
2738;1.0;1;Guatemala;Americas;2019
2778;1.0;1;Haiti;Americas;2019
2798;1.0;1;Honduras;Americas;2019
2818;1.0;1;Jamaica;Americas;2019
2838;1.0;1;Mexico;Americas;2019
2858;1.0;1;Nicaragua;Americas;2019
2878;1.0;1;Panama;Americas;2019
2898;1.0;1;Paraguay;Americas;2019
2918;1.0;1;Peru;Americas;2019
3018;1.0;1;Trinidad and Tobago;Americas;2019
3038;1.0;1;United States of America;Americas;2019
3058;1.0;1;Uruguay;Americas;2019
3078;1.0;1;Venezuela (Bolivarian Republic of);Americas;2019
3138;1.0;1;Canada;Americas;2019
2478;3.0;3;Bahamas;Americas;2019
2758;3.0;3;Guyana;Americas;2019
2998;3.0;3;Suriname;Americas;2019
2498;4.0;4;Belize;Americas;2019
3118;5.0;4;Barbados;Americas;2019
2958;8.0;8;Saint Lucia;Americas;2019
2718;12.0;13;Grenada;Americas;2019
3098;12.0;13;Antigua and Barbuda;Americas;2019
2978;13.0;13;Saint Vincent and the Grenadines;Americas;2019
