;indicatorAnalyzingCode;missingDatasPercent;ig
0;IHR08;14.096916299559467;-13598.577222436925
1;IHR11;14.096916299559467;-13598.778742588007
2;IHR13;14.096916299559467;-13598.715640458144
3;AMRGLASS_QA02;0.0;
4;AIR_9;19.38325991189427;-25201.80565518943
5;AMRGLASS_COORD01;0.0;
6;AMRGLASS_SURVL03;0.0;
7;anc1;49.33920704845814;-22808.24801160684
8;anc15;67.84140969162996;-24935.659415505408
9;anc4;50.22026431718062;-23240.282097142812
10;BP_03;16.29955947136564;-1194.0311292964386
11;anc45;66.07929515418502;-24884.374043375443
12;BP_05;20.704845814977972;-7729.765519660571
13;BP_06;16.29955947136564;-1194.511399850871
14;Camp_eval_impact;0.0;
15;GDO_q3x4_3;0.0;
16;GDO_q4x2_1;0.0;
17;GDO_q3x3a_1;0.0;
18;GDO_q3x3a_3;0.0;
19;GDO_q4x1x1_SQ002;0.0;
20;GDO_q4x2_2;0.0;
21;GDO_q4x2_5;0.0;
22;AIR_7;19.38325991189427;-25201.80565518943
23;AMRGLASS_COORD02;0.0;
24;AMRGLASS_COORD04;0.0;
25;AMRGLASS_QA01;0.0;
26;AMRGLASS_QA04;0.0;
27;AMRGLASS_QA05;0.0;
28;AMRGLASS_SURVL01;0.0;
29;GDO_q4x2_4;0.0;
30;GDO_q4x3x4_1;0.0;
31;GDO_q5x1x1_2;0.0;
32;Camp_nat;0.0;
33;BP_04;16.29955947136564;-1194.105207723143
34;Camp_aud_research;0.0;
35;CATARACTSURGICAL;85.02202643171806;-27321.912460382217
36;CC_2;0.0;
37;CC_8;0.0;
38;CCO_1;53.74449339207049;-26303.66507667586
39;GDO_q3x3a_2;0.0;
40;GDO_q3x3a_4;0.0;
41;GDO_q3x3b_1;0.0;
42;GDO_q3x4_2;0.0;
43;GDO_q4x1;0.0;
44;csection5;66.07929515418502;-24913.189646210605
45;DEVICES03;44.93392070484582;-24341.994727673526
46;DEVICES04;43.61233480176211;-24261.18323017395
47;GDO_q5x1x1_3;0.0;
48;GDO_q5x1x1_5;0.0;
49;GDO_q4x1x1_SQ001;0.0;
50;GDO_q4x3x4_2;0.0;
51;CC_7;0.0;
52;cci;56.38766519823788;-23872.07960419065
53;CCO_3;31.27753303964758;-23599.378927489237
54;CHOLERA_0000000002;29.515418502202635;-16902.14328040775
55;cpmt;49.33920704845814;-22799.57677159658
56;csection;49.77973568281938;-23324.809343985973
57;GDO_q4x3x4_4;0.0;
58;GDO_q5x1x3;0.0;
59;GDO_q5x2;0.0;
60;GDO_q6x2_1;0.0;
61;GDO_q7x1_AVAIL;0.0;
62;Camp_gov_prog;0.0;
63;Camp_mat_tested;0.0;
64;CATARACTSURGICALEFFECTIVE;86.78414096916299;-27380.336359151424
65;CC_1;0.0;
66;CC_4;0.0;
67;GDO_q5x1x1_7;0.0;
68;GDO_q5x1x2;0.0;
69;GDO_q8x2_2;0.0;
70;NCD_BMI_18A;16.29955947136564;-706.7991695989775
71;cci2030;59.91189427312775;-24981.817411795335
72;CHOLERA_0000000003;68.72246696035242;-24776.635550353425
73;GDO_q5x1;0.0;
74;GDO_q6x2_3;0.0;
75;GDO_q6x2_6;0.0;
76;GDO_q8x2_1;0.0;
77;GDO_q8x2_3;0.0;
78;NCD_BMI_30C;16.29955947136564;-706.1729474732292
79;NCD_BMI_MINUS2C;16.29955947136564;-706.1430306969479
80;NCD_CCS_ACE;0.0;
81;GDO_q5x1x1_6;0.0;
82;GDO_q6x1_2;0.0;
83;GDO_q6x2_4;0.0;
84;GDO_q8x3_2;0.0;
85;NCD_CCS_betablockers;0.0;
86;NCD_CCS_BowelCancer;0.0;
87;NCD_CCS_CancerRegNational;0.0;
88;DEVICES08;41.409691629955944;-24099.73997258636
89;DEVICES09;40.08810572687225;-24029.657177413297
90;DEVICES11;47.57709251101322;-24518.91573947874
91;DEVICES12;24.669603524229075;-23205.773473976114
92;GDO_q6x2_5;0.0;
93;GDO_q8x2_5;0.0;
94;GDO_q8x2_6;0.0;
95;DEVICES16;26.872246696035234;-25451.38278623487
96;DEVICES17;28.193832599118934;-25490.56065623774
97;GDO_q8x4_5;0.0;
98;GDO_q8x4_6;0.0;
99;GDO_q8x5_3;0.0;
100;GDO_q8x3_5;0.0;
101;GDO_q8x4_2;0.0;
102;GDO_q8x4_4;0.0;
103;NCD_BMI_18C;16.29955947136564;-706.7682774521953
104;NCD_BMI_25C;16.29955947136564;-705.9388794995621
105;NCD_BMI_30A;16.29955947136564;-706.1533994990211
106;NCD_BMI_PLUS1C;16.29955947136564;-705.6066204169373
107;GDO_q8x5_4;0.0;
108;DEVICES01;51.10132158590308;-24658.778283144875
109;DEVICES02;50.66079295154185;-24682.02353776435
110;NCD_CCS_AlcPlan;0.0;
111;NCD_CCS_BreastCancer;0.0;
112;DEVICES00;39.647577092511014;-25841.53679195949
113;DEVICES06;29.515418502202635;-25533.258246057172
114;DEVICES10;48.01762114537445;-24555.89878118064
115;DEVICES13;28.634361233480178;-25511.427524294733
116;DEVICES14;87.22466960352423;-27409.253614806534
117;DEVICES18;26.872246696035234;-25451.38278623487
118;DEVICES19;28.193832599118934;-25496.19683147465
119;DEVICES05;43.61233480176211;-24244.92285778792
120;DEVICES15;26.431718061674005;-25437.063238341005
121;AIR_8;19.38325991189427;-25201.80565518943
122;AIR_90;19.38325991189427;-25201.80565518943
123;AMRGLASS_COORD03;0.0;
124;AMRGLASS_QA03;0.0;
125;AMRGLASS_SURVL02;0.0;
126;asfr1;58.590308370044056;-23984.878957475103
127;ASSISTIVETECH_METNEED;88.54625550660793;-27802.06842351365
128;Camp_airtime;0.0;
129;GDO_q3x4_1;0.0;
130;GDO_q4x1x2;0.0;
131;GDO_q4x2_3;0.0;
