;indicatorAnalyzingCode;missingDatasPercent;ig
17;HEMOGLOBINLEVEL_PREGNANT_MEAN;14.096916299559467;2.0642944676005204
33;HEMOGLOBINLEVEL_NONPREGNANT_ME;14.096916299559467;2.1251190404809375
30;HEMOGLOBINLEVEL_REPRODUCTIVEAG;14.096916299559467;2.13778000231538
7;WHS4_544;14.096916299559467;2.176755188254565
8;WHS4_100;14.096916299559467;2.243439835677478
12;WHS8_110;14.096916299559467;2.3143221194279935
16;HEMOGLOBINLEVEL_CHILDREN_MEAN;14.096916299559467;2.9582820016942737
14;TB_e_inc_num;14.53744493392071;2.984003519204226
5;MDG_0000000020;14.53744493392071;3.0876967014299668
9;WSH_SANITATION_BASIC;13.656387665198238;3.3111526649810683
19;NCD_HYP_PREVALENCE_A;14.096916299559467;4.4230365529762565
18;NCD_HYP_PREVALENCE_C;14.53744493392071;4.531322778204206
21;NCD_HYP_CONTROL_C;14.53744493392071;4.602975998406624
36;NCD_HYP_CONTROL_A;14.096916299559467;4.613849644833194
13;WSH_WATER_BASIC;13.656387665198238;4.858372823031772
35;NCD_HYP_DIAGNOSIS_A;14.096916299559467;4.999808439332945
22;NCD_HYP_TREATMENT_A;14.096916299559467;5.026858191433652
38;NCD_HYP_TREATMENT_C;14.53744493392071;5.029928955907309
28;NCD_HYP_DIAGNOSIS_C;14.53744493392071;5.048666591997591
29;CHILDMORT_DEATHS_10TO14;12.334801762114537;5.618278064920393
26;CM_04;12.334801762114537;5.6531867696435505
32;NUTRITION_ANAEMIA_PREGNANT_PRE;14.096916299559467;5.8232816195916834
0;CM_03;12.334801762114537;6.41507357496731
3;CM_02;12.334801762114537;6.579273424801671
2;CM_01;12.334801762114537;6.62405126355411
