;Unnamed: 0;year;countryName;regionName;NUTRITION_ANAEMIA_CHILDREN_PRE;CM_03;CHILDMORT5TO14;CM_01;CM_02;MDG_0000000001;MDG_0000000020;MDG_0000000007;WHS4_544;WHS4_100;WSH_SANITATION_BASIC;WHOSIS_000003;WHOSIS_000014;WHS8_110;WSH_WATER_BASIC;TB_e_inc_num;WHOSIS_000016;HEMOGLOBINLEVEL_CHILDREN_MEAN;HEMOGLOBINLEVEL_PREGNANT_MEAN;NCD_HYP_PREVALENCE_C;NCD_HYP_PREVALENCE_A;NUTRITION_ANAEMIA_NONPREGNANT__x;NCD_HYP_CONTROL_C;NCD_HYP_TREATMENT_A;NUTRITION_ANAEMIA_REPRODUCTIVE_x;NUTRITION_ANAEMIA_PREGNANT_NUM;NUTRITION_ANAEMIA_CHILDREN_NUM;CM_04;CHILDMORT10TO19;NCD_HYP_DIAGNOSIS_C;CHILDMORT_DEATHS_10TO14;HEMOGLOBINLEVEL_REPRODUCTIVEAG;CHILDMORT_MORTALITY_10TO14;NUTRITION_ANAEMIA_PREGNANT_PRE;HEMOGLOBINLEVEL_NONPREGNANT_ME;NUTRITION_ANAEMIA_NONPREGNANT__y;NCD_HYP_DIAGNOSIS_A;NCD_HYP_CONTROL_A;NUTRITION_ANAEMIA_REPRODUCTIVE_y;NCD_HYP_TREATMENT_C;POP;percent
620;620;2004;Sao Tome and Principe;Africa;198.7;124.0;36.94657;732.0;518.0;126.59022000000002;138.0;181.85799;99.0;96.0;73.42654999999999;19.90484;14.64073;91.0;210.44526;220.0;20.68878;103.0;107.0;129.39999999999998;138.4;196.863;11.2;48.7;204.921;6.239;52.554;58.0;73.67279;88.3;44.0;118.0;5.43656;163.60000000000002;119.0;196.863;91.3;11.0;204.921;46.49999999999999;157697.0;0.1260011287469007
621;621;2001;Sao Tome and Principe;Africa;208.2;128.0;46.38547;868.0;592.0;153.98182;117.0;230.29054;90.0;92.0;63.356080000000006;21.81638;15.42466;75.0;205.13335;170.0;26.94892;101.0;107.0;126.3;135.6;200.30400000000003;9.4;42.9;207.407;6.0120000000000005;49.737;74.0;82.05431000000002;84.0;52.0;117.0;6.51608;165.20000000000002;118.0;200.30400000000003;86.8;9.1;207.407;41.1;146258.0;0.14235118762734345
622;622;2002;Sao Tome and Principe;Africa;205.2;127.0;43.13839;824.0;568.0;144.51924;112.0;213.59325;92.0;92.0;66.70608;21.26572;15.18217;85.0;206.92579;170.0;24.76906;102.0;107.0;127.3;136.4;199.116;10.0;44.6;206.666;6.09;50.629;68.0;79.13881;85.2;48.0;117.0;6.15318;164.7;118.0;199.116;88.0;9.7;206.666;42.8;149841.0;0.13694516187158387
623;623;2003;Sao Tome and Principe;Africa;201.9;126.0;39.99075;778.0;542.0;135.42196;125.0;197.46433;94.0;94.0;70.06469;20.60186;14.90255;87.0;208.69798;190.0;22.68197;102.0;107.0;128.5;137.4;198.229;10.6;46.7;205.836;6.176;51.59;62.0;76.37056;86.60000000000001;46.0;117.0;5.79224;164.10000000000002;118.0;198.229;89.5;10.3;205.836;44.7;153762.0;0.13130682483318376
639;639;2000;Sao Tome and Principe;Africa;211.5;127.0;49.59854;908.0;612.0;163.36153000000002;119.0;246.93763;87.0;82.0;60.04103;22.19702;15.58504;69.0;203.34586;170.0;29.1308;101.0;107.0;125.4;134.6;201.07700000000003;8.9;41.2;208.219;5.922;48.834;80.0;85.12149;82.9;54.0;117.0;6.86633;165.60000000000002;118.0;201.07700000000003;85.69999999999999;8.6;208.219;39.5;143714.0;0.14716729059103498
2101;2101;2001;San Marino;Europe;36.0;1.0;3.8029;4.0;4.0;13.73951;0.0;15.46349;95.0;97.0;100.0;2.57634;2.84297;97.0;100.0;0.0;1.78194;122.0;120.0;;;35.059;;;35.726;0.087;0.4459999999999999;0.0;15.51758;;0.0;132.0;0.67998;49.8;132.0;35.059;;;35.726;;27335.0;0.1316992866288641
2102;2102;2002;San Marino;Europe;35.400000000000006;1.0;3.56577;4.0;2.0;12.72601;4.1;14.31821;95.0;96.0;100.0;2.36483;2.70932;96.0;100.0;1.0;1.66477;122.0;120.0;;;34.947;;;35.214000000000006;0.087;0.424;0.0;14.69919;;0.0;132.0;0.63891;49.2;132.0;34.947;;;35.214000000000006;;27969.0;0.12656870106188997
2103;2103;2003;San Marino;Europe;35.099999999999994;1.0;3.35201;2.0;2.0;11.81905;4.0;13.303639999999998;94.0;96.0;100.0;2.17228;2.58869;94.0;100.0;1.0;1.55867;122.0;120.0;;;34.535;;;35.01200000000001;0.087;0.4499999999999999;0.0;13.96081;;0.0;132.0;0.60231;48.900000000000006;132.0;34.535;;;35.01200000000001;;28601.0;0.12272298171392607
2119;2119;2000;San Marino;Europe;36.900000000000006;1.0;4.06697;4.0;4.0;14.91046;4.3;16.77804;96.0;98.0;100.0;2.81559;2.99317;99.0;100.0;1.0;1.91324;122.0;120.0;;;35.551;;;35.938;0.087;0.47;0.0;16.42137;;0.0;131.0;0.72453;50.39999999999999;132.0;35.551;;;35.938;;26823.0;0.137568504641539
2628;2628;2009;Dominica;Americas;83.69999999999999;18.0;9.8391;48.0;40.0;60.75451;6.5;70.22629;99.0;99.0;75.3437;18.60621;12.93393;99.0;94.93166;4.0;4.62107;117.0;118.0;147.5;143.0;73.08099999999999;38.6;124.8;73.803;0.422;3.872;4.0;24.74783;159.60000000000002;4.0;129.0;1.74775;75.6;129.0;73.08099999999999;158.2;38.5;73.803;126.0;68787.0;0.12167996859871776
