;Actual Value;Prediction;countryName;regionName;year
3178;1.0;1;Kiribati;Western Pacific;2019
3338;1.0;1;Singapore;Western Pacific;2019
3038;2.0;2;Australia;Western Pacific;2019
3138;2.0;2;Japan;Western Pacific;2019
3058;3.0;3;Brunei Darussalam;Western Pacific;2019
3198;4.0;4;Republic of Korea;Western Pacific;2019
3278;4.0;4;New Zealand;Western Pacific;2019
3298;5.0;5;Philippines;Western Pacific;2019
3318;5.0;5;Papua New Guinea;Western Pacific;2019
3438;5.0;5;Samoa;Western Pacific;2019
3098;6.0;6;Fiji;Western Pacific;2019
3418;6.0;6;Vanuatu;Western Pacific;2019
3078;7.0;7;China;Western Pacific;2019
3218;7.0;7;Lao People's Democratic Republic;Western Pacific;2019
3358;7.0;7;Solomon Islands;Western Pacific;2019
3158;8.0;8;Cambodia;Western Pacific;2019
3238;9.0;9;Mongolia;Western Pacific;2019
3258;9.0;9;Malaysia;Western Pacific;2019
3378;13.0;13;Tonga;Western Pacific;2019
3398;13.0;12;Viet Nam;Western Pacific;2019
