;indicatorAnalyzingName;missingDatasPercent
0;Unnamed: 0;0.0
1;year;0.0
2;countryName;0.0
3;regionName;0.0
4;CHILDMORT5TO14-Both sexes;0.0
5;CHILDMORT5TO14;0.0
6;CM_01-Male;0.0
7;CM_01-Both sexes;0.0
8;CM_01-Female;0.0
9;CM_01;0.0
10;CM_02-Both sexes;0.0
11;CM_02-Male;0.0
12;CM_02-Female;0.0
13;CM_02;0.0
14;CM_03-Both sexes;0.0
15;CM_03;0.0
16;MDG_0000000001-Female;0.0
17;MDG_0000000001-Both sexes;0.0
18;MDG_0000000001-Male;0.0
19;MDG_0000000001;0.0
20;MDG_0000000007-Both sexes;0.0
21;MDG_0000000007-Female;0.0
22;MDG_0000000007-Male;0.0
23;MDG_0000000007;0.0
24;MDG_0000000017;0.6399554813578185
25;MDG_0000000020;0.6399554813578185
26;MH_12-Male;0.0
27;MH_12-Both sexes;0.0
28;MH_12-Female;0.0
29;MH_12;0.0
30;NCD_DTH_TOT-Both sexes;0.0
31;NCD_DTH_TOT-Male;0.0
32;NCD_DTH_TOT-Female;0.0
33;NCD_DTH_TOT;0.0
34;NCD_UNDER70-Male;0.0
35;NCD_UNDER70-Both sexes;0.0
36;NCD_UNDER70-Female;0.0
37;NCD_UNDER70;0.0
38;NCDMORT3070-Female;0.0
39;NCDMORT3070-Male;0.0
40;NCDMORT3070-Both sexes;0.0
41;NCDMORT3070;0.0
42;RS_198-Female;0.0
43;RS_198-Male;0.0
44;RS_198-Both sexes;0.0
45;RS_198;0.0
46;SA_0000001400;1.725097384529772
47;SA_0000001688-Both sexes;1.5025041736227045
48;SA_0000001688-Male;1.5025041736227045
49;SA_0000001688-Female;1.5025041736227045
50;SA_0000001688;1.5025041736227045
51;SDG_SH_DTH_RNCOM-Both sexes;0.0
52;SDG_SH_DTH_RNCOM-Male;0.0
53;SDG_SH_DTH_RNCOM-Female;0.0
54;SDG_SH_DTH_RNCOM;0.0
55;SDGPOISON-Male;0.0
56;SDGPOISON-Both sexes;0.0
57;SDGPOISON-Female;0.0
58;SDGPOISON;0.0
59;SDGSUICIDE;0.0
60;TB_e_inc_num;0.6399554813578185
61;TB_e_mort_exc_tbhiv_num;0.6399554813578185
62;VIOLENCE_HOMICIDENUM-Male;0.0
63;VIOLENCE_HOMICIDENUM-Both sexes;0.0
64;VIOLENCE_HOMICIDENUM-Female;0.0
65;VIOLENCE_HOMICIDENUM;0.0
66;VIOLENCE_HOMICIDERATE-Female;0.0
67;VIOLENCE_HOMICIDERATE-Male;0.0
68;VIOLENCE_HOMICIDERATE-Both sexes;0.0
69;VIOLENCE_HOMICIDERATE;0.0
70;WHOSIS_000003-Both sexes;0.0
71;WHOSIS_000003;0.0
72;WHOSIS_000014;0.0
73;WHS2_131-Male;0.0
74;WHS2_131-Female;0.0
75;WHS2_131-Both sexes;0.0
76;WHS2_131;0.0
77;WHS4_100;0.528658875904285
78;WHS4_544;0.528658875904285
79;WHS8_110;0.528658875904285
80;WSH_SANITATION_BASIC;1.279910962715637
81;WSH_WATER_BASIC;0.9460211463550361
82;WHOSIS_000016-Both sexes;0.0
83;WHOSIS_000016;0.0
84;HEMOGLOBINLEVEL_CHILDREN_MEAN;0.0
85;NCD_HYP_DIAGNOSIS_A-Both sexes;0.0
86;NCD_HYP_DIAGNOSIS_A-Male;0.0
87;NCD_HYP_DIAGNOSIS_A-Female;0.0
88;NCD_HYP_DIAGNOSIS_A;0.0
89;HEMOGLOBINLEVEL_PREGNANT_MEAN;0.0
90;NCD_HYP_PREVALENCE_A-Both sexes;0.0
91;NCD_HYP_PREVALENCE_A-Female;0.0
92;NCD_HYP_PREVALENCE_A-Male;0.0
93;NCD_HYP_PREVALENCE_A;0.0
94;NCD_HYP_PREVALENCE_C-Male;0.0
95;NCD_HYP_PREVALENCE_C-Both sexes;0.0
96;NCD_HYP_PREVALENCE_C-Female;0.0
97;NCD_HYP_PREVALENCE_C;0.0
98;NCD_HYP_CONTROL_A-Both sexes;0.0
99;NCD_HYP_CONTROL_A-Female;0.0
100;NCD_HYP_CONTROL_A-Male;0.0
101;NCD_HYP_CONTROL_A;0.0
102;NUTRITION_ANAEMIA_NONPREGNANT_-Female_x;1.1129660545353366
103;NUTRITION_ANAEMIA_NONPREGNANT__x;0.0
104;NCD_HYP_CONTROL_C-Male;0.0
105;NCD_HYP_CONTROL_C-Both sexes;0.0
106;NCD_HYP_CONTROL_C-Female;0.0
107;NCD_HYP_CONTROL_C;0.0
108;NUTRITION_ANAEMIA_REPRODUCTIVE-Female_x;1.1129660545353366
109;NUTRITION_ANAEMIA_REPRODUCTIVE_x;0.0
110;NCD_HYP_TREATMENT_A-Male;0.0
111;NCD_HYP_TREATMENT_A-Both sexes;0.0
112;NCD_HYP_TREATMENT_A-Female;0.0
113;NCD_HYP_TREATMENT_A;0.0
114;NUTRITION_ANAEMIA_REPRODUCTIVE-Female_y;1.1129660545353366
115;NUTRITION_ANAEMIA_REPRODUCTIVE_y;0.0
116;NUTRITION_ANAEMIA_CHILDREN_NUM-Both sexes;1.1129660545353366
117;NUTRITION_ANAEMIA_CHILDREN_NUM;0.0
118;NUTRITION_ANAEMIA_PREGNANT_NUM-Female;1.1129660545353366
119;NUTRITION_ANAEMIA_PREGNANT_NUM;0.0
120;NUTRITION_ANAEMIA_CHILDREN_PRE-Both sexes;1.1129660545353366
121;NUTRITION_ANAEMIA_CHILDREN_PRE;0.0
122;NCD_HYP_TREATMENT_C-Female;0.0
123;NCD_HYP_TREATMENT_C-Both sexes;0.0
124;NCD_HYP_TREATMENT_C-Male;0.0
125;NCD_HYP_TREATMENT_C;0.0
126;CHILDMORT_DEATHS_10TO14-Both sexes;0.0
127;CHILDMORT_DEATHS_10TO14;0.0
128;NCD_HYP_DIAGNOSIS_C-Both sexes;0.0
129;NCD_HYP_DIAGNOSIS_C-Female;0.0
130;NCD_HYP_DIAGNOSIS_C-Male;0.0
131;NCD_HYP_DIAGNOSIS_C;0.0
132;HEMOGLOBINLEVEL_REPRODUCTIVEAG;0.0
133;CM_04-Both sexes;0.0
134;CM_04;0.0
135;CHILDMORT_MORTALITY_10TO14-Both sexes;0.0
136;CHILDMORT_MORTALITY_10TO14;0.0
137;NUTRITION_ANAEMIA_NONPREGNANT_-Female_y;1.1129660545353366
138;NUTRITION_ANAEMIA_NONPREGNANT__y;0.0
139;NUTRITION_ANAEMIA_PREGNANT_PRE-Female;1.1129660545353366
140;NUTRITION_ANAEMIA_PREGNANT_PRE;0.0
141;HEMOGLOBINLEVEL_NONPREGNANT_ME;0.0
142;RS_196-Both sexes;0.0
